links,citys
https://www.meteored.com.py/tiempo-en_Asuncion-America+Sur-Paraguay-Central--1-22742.html,      Asunción  31° 22°    
https://www.meteored.com.py/tiempo-en_Caaguazu-America+Sur-Paraguay-Caaguazu--1-22926.html,      Caaguazú  29° 21°    
https://www.meteored.com.py/tiempo-en_Caazapa-America+Sur-Paraguay-Caazapa--1-22889.html,      Caazapá  31° 22°    
https://www.meteored.com.py/tiempo-en_Carlos+Antonio+Lopez-America+Sur-Paraguay-Itapua--1-22900.html,      Carlos Antonio López  32° 20°    
https://www.meteored.com.py/tiempo-en_Ciudad+del+Este-America+Sur-Paraguay-Alto+Parana--1-22739.html,      Ciudad del Este  31° 22°    
https://www.meteored.com.py/tiempo-en_Coronel+Oviedo-America+Sur-Paraguay-Caaguazu--1-22738.html,      Coronel Oviedo  32° 22°    
https://www.meteored.com.py/tiempo-en_Edelira-America+Sur-Paraguay-Itapua--1-22899.html,      Edelira  32° 21°    
https://www.meteored.com.py/tiempo-en_Encarnacion-America+Sur-Paraguay-Itapua--1-22959.html,      Encarnación  32° 22°    
https://www.meteored.com.py/tiempo-en_Filadelfia-America+Sur-Paraguay-Boqueron--1-22840.html,      Filadelfia  29° 22°    
https://www.meteored.com.py/tiempo-en_Loma+Plata-America+Sur-Paraguay-Boqueron--1-22704.html,      Loma Plata  29° 22°    
https://www.meteored.com.py/tiempo-en_Naranjal-America+Sur-Paraguay-Alto+Parana--1-22757.html,      Naranjal  31° 21°    
https://www.meteored.com.py/tiempo-en_Pedro+Juan+Caballero-America+Sur-Paraguay-Amambay--1-22839.html,      Pedro Juan Caballero  28° 19°    
https://www.meteored.com.py/tiempo-en_San+Alberto-America+Sur-Paraguay-Alto+Parana--1-22713.html,      San Alberto  32° 21°    
https://www.meteored.com.py/tiempo-en_San+Isidro+de+Curuguaty-America+Sur-Paraguay-Canindeyu--1-22795.html,      San Isidro de Curuguaty  31° 21°    
https://www.meteored.com.py/tiempo-en_Santa+Rita-America+Sur-Paraguay-Alto+Parana--1-22732.html,      Santa Rita  31° 21°    
https://www.meteored.com.py/tiempo-en_Villarrica-America+Sur-Paraguay-Guaira--1-22741.html,      Villarrica  30° 22°    
